UID|User|AllocTRES|AveDiskRead|AveDiskWrite|CPUTimeRAW|TotalCPU|ElapsedRaw|State|Partition|
||cpu=1,gres/gpu:2080ti=3,gres/gpu=3,mem=32G,node=1|5448.44M|5463.62M|48866|13:31:41|48866|COMPLETED||
||billing=142,cpu=1,gres/gpu:2080ti=3,gres/gpu=3,mem=32G,node=1|0.00M|0.00M|48866|00:00:00|48866|COMPLETED||
1285361|mphoff|billing=50,cpu=40,mem=50G,node=1|||21520|05:32:33|538|COMPLETED|compute|
||cpu=40,mem=50G,node=1|79913.92M|61771.61M|21520|05:32:33|538|COMPLETED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|21520|00:00.002|538|COMPLETED||
858655|mabr9700|billing=60,cpu=40,mem=100G,node=1|||83880|10:59:47|2097|COMPLETED|compute|
||cpu=40,mem=100G,node=1|57535.64M|10557.10M|83880|10:59:47|2097|COMPLETED||
||billing=60,cpu=40,mem=100G,node=1|0.00M|0.00M|83880|00:00.002|2097|COMPLETED||
1285361|mphoff|billing=50,cpu=40,mem=50G,node=1|||86640|21:08:05|2166|COMPLETED|compute|
||cpu=40,mem=50G,node=1|181219.74M|163094.24M|86640|21:08:05|2166|COMPLETED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|86640|00:00.002|2166|COMPLETED||
1285361|mphoff|billing=50,cpu=40,mem=50G,node=1|||279480|2-21:34:04|6987|COMPLETED|compute|
||cpu=40,mem=50G,node=1|520623.89M|467835.21M|279480|2-21:34:04|6987|COMPLETED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|279480|00:00.002|6987|COMPLETED||
1285361|mphoff|billing=50,cpu=40,mem=50G,node=1|||810240|9-06:22:48|20256|COMPLETED|compute|
||cpu=40,mem=50G,node=1|1265214.57M|1130802.01M|810240|9-06:22:48|20256|COMPLETED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|810240|00:00.002|20256|COMPLETED||
1285361|mphoff|billing=50,cpu=40,mem=50G,node=1|||1152720|13-04:19:22|28818|TIMEOUT|compute|
||cpu=40,mem=50G,node=1|1068901.72M|1139627.74M|1152760|13-04:19:22|28819|CANCELLED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|1152720|00:00.002|28818|COMPLETED||
1285361|mphoff|billing=50,cpu=40,mem=50G,node=1|||18280|04:57:01|457|COMPLETED|compute|
||cpu=40,mem=50G,node=1|86880.00M|67170.34M|18280|04:57:01|457|COMPLETED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|18280|00:00.002|457|COMPLETED||
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||3627|00:00.107|3627|TIMEOUT|compute|
||cpu=1,mem=1G,node=1|0.81M|0.04M|3627|00:00.104|3627|COMPLETED||
||billing=1,cpu=1,mem=1G,node=1|0.00M|0.00M|3627|00:00.002|3627|COMPLETED||
1093929|gds001|billing=50,cpu=40,mem=50G,node=1|||4475520|51-08:27:48|111888|COMPLETED|compute|
||cpu=40,mem=50G,node=1|231417.42M|113700.69M|4475520|51-08:27:48|111888|COMPLETED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|4475520|00:00.002|111888|COMPLETED||
1058197|haochq|billing=6,cpu=4,mem=10G,node=1|||240|00:01.728|60|COMPLETED|compute|
||cpu=4,mem=10G,node=1|18.62M|0.69M|240|00:01.725|60|COMPLETED||
||billing=6,cpu=4,mem=10G,node=1|0.00M|0.00M|240|00:00.002|60|COMPLETED||
1058197|haochq|billing=6,cpu=4,mem=10G,node=1|||14476|00:01.477|3619|TIMEOUT|compute|
||cpu=4,mem=10G,node=1|8.96M|0.89M|14476|00:01.474|3619|FAILED||
||billing=6,cpu=4,mem=10G,node=1|0.00M|0.00M|14476|00:00.002|3619|COMPLETED||
1156277|seunguk|billing=2,cpu=2,mem=2G,node=2|||30|00:00.201|15|COMPLETED|compute|
||cpu=1,mem=1G,node=1|0|0|24|00:00.139|24|CANCELLED||
||billing=2,cpu=2,mem=2G,node=2|0.00M|0|30|00:00.004|15|COMPLETED||
||cpu=2,mem=2G,node=2|0|0|18|00:00.057|9|CANCELLED||
1156277|seunguk|billing=2,cpu=2,mem=2G,node=2|||1436|00:01.797|718|COMPLETED|compute|
||cpu=1,mem=1G,node=1|16.22M|17.88M|718|00:01.021|718|COMPLETED||
||billing=2,cpu=2,mem=2G,node=2|0.00M|0.00M|1436|00:00.004|718|COMPLETED||
||cpu=2,mem=2G,node=2|6.06M|7.44M|300|00:00.201|150|CANCELLED by 1156277||
||cpu=2,mem=2G,node=2|0|0|2|00:00.569|1|COMPLETED||
1285361|mphoff|billing=50,cpu=40,mem=50G,node=1|||512840|5-21:05:41|12821|COMPLETED|compute|
||cpu=40,mem=50G,node=1|2694377.76M|2073389.68M|512840|5-21:05:41|12821|COMPLETED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|512840|00:00.002|12821|COMPLETED||
1156277|seunguk|billing=3,cpu=3,mem=3G,node=3|||492|02:01.013|164|COMPLETED|compute|
||cpu=1,mem=1G,node=1|219.52M|194.04M|164|00:07.005|164|COMPLETED||
||billing=3,cpu=3,mem=3G,node=3|162.42M|95.39M|495|01:54.008|165|COMPLETED||
1156277|seunguk|billing=3,cpu=3,mem=3G,node=3|||3783|00:09.238|1261|COMPLETED|compute|
||cpu=1,mem=1G,node=1|182.47M|158.29M|1261|00:09.231|1261|COMPLETED||
||billing=3,cpu=3,mem=3G,node=3|0.00M|0.00M|3783|00:00.007|1261|COMPLETED||
1093929|gds001|billing=50,cpu=40,mem=50G,node=1|||1880|26:14.093|47|COMPLETED|compute|
||cpu=40,mem=50G,node=1|3041.12M|2474.82M|1880|26:14.091|47|COMPLETED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|1880|00:00.002|47|COMPLETED||
1156277|seunguk|billing=2,cpu=2,mem=2G,node=2|||576|00:06.967|288|COMPLETED|compute|
